<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.10.26	99515.63	99665.70	99300.66	99603.10	86397	0	53
2024.10.27	99603.05	99983.05	99567.92	99911.00	79990	0	53
2024.10.28	99910.95	99923.91	99112.12	99189.52	86400	0	53
2024.10.29	99189.47	99307.74	98498.53	98523.69	86401	0	53
2024.10.30	98523.64	98645.81	98375.32	98375.84	86400	0	53
2024.10.31	98375.79	98599.93	98075.34	98541.02	86400	0	53
2024.11.01	98540.97	98578.25	98116.05	98148.78	86401	0	53
2024.11.02	98148.73	98688.61	97942.63	98652.67	86331	0	53
2024.11.03	98652.62	99166.55	98566.46	99115.64	86281	0	53
2024.11.04	99115.59	99458.86	99001.58	99385.51	84389	0	53
2024.11.05	99385.46	99565.74	98916.03	99117.69	86400	0	53
2024.11.06	99117.64	99197.17	98745.47	99018.42	86401	0	53
2024.11.07	99018.37	99483.85	98805.25	99441.44	86400	0	53
2024.11.08	99441.39	99687.81	99262.73	99298.39	86400	0	53
2024.11.09	99298.34	99372.23	98861.70	98985.58	86302	0	53
2024.11.10	98985.53	98985.53	98179.71	98559.07	86255	0	53
2024.11.11	98559.02	98874.34	98467.11	98665.31	86398	0	53
2024.11.12	98665.26	98809.38	98464.29	98639.95	86401	0	53
2024.11.13	98639.90	99079.46	98577.02	98698.50	86400	0	53
2024.11.14	98698.45	98796.55	98376.48	98563.66	86400	0	53
2024.11.15	98563.61	99009.65	98389.29	98740.32	86401	0	53
2024.11.16	98740.27	99415.31	98684.43	99312.84	86400	0	53
2024.11.17	99312.79	99508.21	99099.77	99195.40	86328	0	53
2024.11.18	99195.35	99442.68	98924.82	98939.16	86399	0	53
2024.11.19	98939.11	99053.44	98201.85	98579.39	86400	0	53
2024.11.20	98579.34	99211.39	98553.20	98924.08	86400	0	53
2024.11.21	98924.03	99649.43	98844.55	99085.55	86401	0	53
2024.11.22	99085.50	99604.96	98974.02	99333.02	86392	0	53
2024.11.23	99332.97	99473.02	99155.03	99309.02	86400	0	53
2024.11.24	99308.97	99753.03	98869.21	99522.81	86328	0	53
2024.11.25	99522.76	99843.91	99285.01	99611.84	86238	0	53
2024.11.26	99611.79	99941.50	99444.12	99762.40	86400	0	53
2024.11.27	99762.35	100250.02	99669.91	100217.04	86401	0	53
2024.11.28	100216.99	100327.71	99898.29	100081.08	86400	0	53
2024.11.29	100081.03	100110.07	99607.02	99813.77	86400	0	53
2024.11.30	99813.72	100349.75	99809.22	100095.03	86374	0	53
2024.12.01	100094.98	100121.47	99670.65	99761.68	86400	0	53
2024.12.02	99761.63	100119.81	99536.54	99856.32	86394	0	53
2024.12.03	99856.27	100683.64	99770.85	100678.04	86400	0	53
2024.12.04	100677.99	101065.11	100535.12	100566.95	86400	0	53
2024.12.05	100566.90	100809.73	100294.99	100733.71	86401	0	53
2024.12.06	100733.66	100733.66	100333.67	100651.38	86400	0	53
2024.12.07	100651.33	100691.98	99772.46	99988.11	86400	0	53
2024.12.08	100025.80	101046.37	99927.05	101007.78	86255	0	53
2024.12.09	101007.73	101701.72	100930.91	101583.33	86398	0	53
2024.12.10	101583.28	101704.84	101068.26	101311.93	86316	0	53
2024.12.11	101311.88	101311.88	100574.53	100721.83	86400	0	53
2024.12.12	100721.78	101328.53	100668.64	101087.71	86401	0	53
2024.12.13	101087.66	101263.20	100778.07	100790.67	86400	0	53
2024.12.14	100790.62	101354.29	100750.10	101160.75	86400	0	53
2024.12.15	101160.70	101613.59	100935.74	101545.81	86261	0	53
2024.12.16	101545.76	101830.78	101465.65	101789.18	86395	0	53
2024.12.17	101789.13	102231.19	101743.60	102207.69	86400	0	53
2024.12.18	102207.64	102583.23	101870.43	102340.28	86401	0	53
2024.12.19	102340.23	102642.88	102163.24	102540.02	86400	0	53
2024.12.20	102539.97	102559.81	102146.88	102511.01	86400	0	53
2024.12.21	102510.96	102657.53	102318.12	102608.41	86401	0	53
2024.12.22	102608.36	103342.38	102539.96	103270.45	86335	0	53
2024.12.23	103270.40	103461.45	102980.13	103341.86	86400	0	53
2024.12.24	103341.81	103360.20	102703.98	102781.45	86400	0	53
2024.12.25	102781.40	102946.42	102574.69	102913.45	86282	0	53
2024.12.26	102913.40	103541.75	102818.66	103484.40	86400	0	53
2024.12.27	103484.35	104400.61	103431.03	104204.19	86400	0	53
2024.12.28	104204.14	104272.45	103329.99	103483.27	86401	0	53
2024.12.29	103483.22	103833.80	103369.13	103536.39	86335	0	53
2024.12.30	103536.34	103822.98	103390.95	103781.08	86187	0	53
2024.12.31	103781.03	104127.70	103535.78	103940.94	86400	0	53
2025.01.01	103940.89	104190.24	103600.79	103808.10	86281	0	53
2025.01.02	103808.05	103834.21	103129.89	103160.80	86400	0	53
2025.01.03	103160.75	103463.63	103028.22	103223.73	86400	0	53
2025.01.04	103223.68	103488.65	102795.04	103057.45	86401	0	53
2025.01.05	103057.40	103188.37	102872.52	102931.34	86217	0	53
2025.01.06	102931.29	103039.95	102627.87	102646.78	86316	0	53
2025.01.07	102646.73	102792.16	102170.52	102398.42	86401	0	53
2025.01.08	102398.37	102757.68	102384.57	102424.72	86400	0	53
2025.01.09	102424.67	103333.49	102366.45	103166.04	86400	0	53
2025.01.10	103165.99	103305.35	102623.67	102623.67	86401	0	53
2025.01.11	102623.62	102725.82	102036.13	102103.68	86400	0	53
2025.01.12	102103.63	102412.60	102094.18	102164.40	86186	0	53
2025.01.13	102164.35	102171.11	101801.35	102031.08	86396	0	53
2025.01.14	102031.03	102596.50	101806.49	102264.50	86401	0	53
2025.01.15	102264.45	102442.93	102068.23	102277.51	86400	0	53
2025.01.16	102277.46	102456.03	101986.54	102405.18	86400	0	53
2025.01.17	102405.13	102517.55	102048.54	102319.36	86398	0	53
2025.01.18	102319.31	102621.21	102051.18	102474.23	86376	0	53
2025.01.19	102474.18	102727.75	102406.40	102704.39	86335	0	53
2025.01.20	102704.34	102959.67	102652.48	102950.76	86289	0	53
2025.01.21	102950.71	102976.08	102364.99	102890.12	86401	0	53
2025.01.22	102890.07	102975.10	102464.38	102841.54	86400	0	53
2025.01.23	102841.49	102841.49	102103.23	102246.93	86400	0	53
2025.01.24	102246.88	102576.69	102074.82	102209.56	86401	0	53
2025.01.25	102209.51	103157.71	102208.61	103098.74	86381	0	53
2025.01.26	103098.69	103178.02	102564.19	102624.74	86335	0	53
2025.01.27	102624.69	102966.07	102497.24	102827.89	86226	0	53
2025.01.28	102827.84	102873.46	102563.79	102586.59	86337	0	53
2025.01.29	102586.54	102743.93	102100.34	102368.13	86400	0	53
2025.01.30	102368.08	102394.69	101821.26	102235.32	86400	0	53
2025.01.31	102235.27	102272.30	101372.25	101372.25	86401	0	53
2025.02.01	101372.20	101666.34	101023.38	101193.80	85766	0	53
2025.02.02	101193.75	101193.75	100417.55	100739.15	86334	0	53
2025.02.03	100739.10	100867.06	100398.95	100667.63	86400	0	53
2025.02.04	100667.58	100973.17	100589.00	100829.54	86401	0	53
2025.02.05	100829.49	101431.04	100664.01	101395.66	86400	0	53
2025.02.06	101395.61	101611.75	101271.75	101366.91	86400	0	53
2025.02.07	101366.86	101500.54	100789.36	100789.36	86400	0	53
2025.02.08	100789.31	101194.75	100416.27	100965.84	86401	0	53
2025.02.09	100965.79	101043.94	100563.43	100834.96	86207	0	53
2025.02.10	100834.91	101076.10	100447.64	101030.28	86401	0	53
2025.02.11	101030.23	101376.52	100718.22	101207.11	86400	0	53
2025.02.12	101207.06	101467.46	101091.71	101116.71	86400	0	53
2025.02.13	101116.66	101321.98	100821.99	101203.73	86400	0	53
2025.02.14	101203.68	101389.88	100941.25	101124.68	86401	0	53
2025.02.15	101124.63	101335.82	100909.36	100909.36	86400	0	53
2025.02.16	100909.31	101179.79	100640.75	100987.20	86257	0	53
2025.02.17	100987.15	101472.47	100823.35	101193.11	86400	0	53
2025.02.18	101193.06	101327.75	100935.21	101181.39	86401	0	53
2025.02.19	101181.34	101527.09	101015.42	101512.64	86308	0	53
2025.02.20	101512.59	101704.13	101331.37	101524.24	86260	0	53
2025.02.21	101524.19	101632.40	100947.14	101047.75	86400	0	53
2025.02.22	101047.70	101649.52	100944.14	101575.73	86400	0	53
2025.02.23	101575.68	102172.19	101564.63	102118.93	86338	0	53
2025.02.24	102118.88	102243.80	101852.52	101982.43	86401	0	53
2025.02.25	101982.38	102075.88	101699.13	101900.72	86400	0	53
2025.02.26	101900.67	102173.01	101725.72	101934.17	86400	0	53
2025.02.27	101934.12	102332.55	101904.12	102065.38	86400	0	53
2025.02.28	102065.33	102258.53	101840.90	102014.92	86401	0	53
2025.03.01	102014.87	102460.53	101951.22	102159.05	86400	0	53
2025.03.02	102159.00	102211.79	101714.36	101767.64	86256	0	53
2025.03.03	101767.59	101982.87	101337.36	101890.40	86400	0	53
2025.03.04	101890.35	102372.51	101799.77	101973.74	86401	0	80
2025.03.05	101973.69	102169.23	101830.73	101966.56	86345	0	80
2025.03.06	101966.51	102705.16	101855.86	102676.61	86273	0	80
2025.03.07	102676.56	103356.81	102670.98	103140.99	86401	0	80
2025.03.08	103140.94	103445.00	103105.94	103367.67	86400	0	80
2025.03.09	103367.62	103509.41	103141.94	103458.85	86338	0	80
2025.03.10	103458.80	104201.76	103421.89	103672.29	86400	0	80
2025.03.11	103672.24	103820.54	103214.34	103783.64	86401	0	80
2025.03.12	103783.59	104329.79	103501.20	104269.69	86400	0	80
2025.03.13	104269.64	104498.66	104137.44	104381.39	86400	0	80
2025.03.14	104381.34	104662.82	104152.46	104619.77	86400	0	80
2025.03.15	104619.72	105464.14	104502.44	105295.81	86360	0	80
2025.03.16	105295.76	105482.73	105094.75	105381.08	86360	0	80
2025.03.17	105381.03	105426.70	104851.44	105081.25	86400	0	80
2025.03.18	105081.20	105547.24	105073.25	105508.96	86400	0	80
2025.03.19	105508.91	106186.51	105474.22	105895.45	86382	0	80
2025.03.20	105895.40	105973.85	105455.99	105615.08	86401	0	80
2025.03.21	105615.03	105780.00	105243.48	105453.29	86282	0	80
2025.03.22	105453.24	106091.28	105437.49	105789.95	86400	0	80
2025.03.23	105789.90	106126.07	105429.97	106043.42	86010	0	80
2025.03.24	106043.37	106432.81	105965.74	106185.12	86245	0	80
2025.03.25	106185.07	106212.33	105492.60	105545.91	85641	0	80
2025.03.26	105545.86	105618.47	105150.08	105452.86	86400	0	80
2025.03.27	105452.81	105518.25	104920.65	105158.29	86401	0	80
2025.03.28	105158.24	105963.31	104993.17	105858.81	86400	0	80
2025.03.29	105858.76	106204.37	105613.52	106032.09	86400	0	80
2025.03.30	106032.04	106429.04	105931.48	106398.57	80188	0	80
2025.03.31	106398.52	106413.35	105556.70	105673.45	86400	0	80
2025.04.01	105673.40	105869.03	105326.16	105342.54	86400	0	80
2025.04.02	105342.49	105653.02	105238.44	105323.76	86401	0	80
2025.04.03	105323.71	105325.12	104679.59	105017.61	86400	0	80
2025.04.04	105017.56	105533.78	104970.54	105096.79	86400	0	80
2025.04.05	105096.74	105210.83	104694.90	104873.61	86400	0	80
2025.04.06	104873.56	104974.82	104295.89	104486.16	86338	0	80
2025.04.07	104486.11	104678.75	104378.73	104473.77	86400	0	80
2025.04.08	104473.72	104817.39	104173.15	104430.89	86400	0	80
2025.04.09	104430.84	104441.78	103914.77	104307.16	86400	0	80
2025.04.10	104307.11	104696.03	104129.67	104665.45	86401	0	80
2025.04.11	104665.40	104876.99	103983.78	104532.01	86316	0	80
2025.04.12	104531.96	104531.96	104004.04	104246.40	86400	0	80
2025.04.13	104246.35	104418.32	103717.75	104022.76	86248	0	80
2025.04.14	104022.71	104148.75	103576.00	103719.94	86400	0	80
2025.04.15	103719.89	104108.07	103572.03	103795.45	86281	0	80
2025.04.16	103795.40	104185.68	103729.30	103965.83	86399	0	80
2025.04.17	103965.78	104114.69	103164.82	103408.80	86281	0	80
2025.04.18	103408.75	103435.33	102627.14	102627.14	86400	0	80
2025.04.19	102627.09	102742.68	102411.37	102620.09	86400	0	80
2025.04.20	102620.04	102763.35	102190.05	102375.18	86338	0	80
2025.04.21	102375.13	102746.24	102179.86	102578.89	86401	0	80
2025.04.22	102578.84	103302.72	102517.94	103126.38	86205	0	80
2025.04.23	103126.33	103293.50	102638.74	102901.21	86400	0	80
2025.04.24	102901.16	103037.59	102496.11	102496.11	86400	0	80
2025.04.25	102496.06	102573.48	102032.78	102289.94	86231	0	80
2025.04.26	102289.89	102724.88	102100.39	102356.77	86401	0	80
2025.04.27	102356.72	102960.06	102280.54	102940.02	86338	0	80
2025.04.28	102939.97	103546.81	102836.57	103295.21	86318	0	80
2025.04.29	103295.16	103371.25	102600.62	102742.39	86400	0	80
2025.04.30	102742.34	103459.48	102584.81	103393.93	86400	0	80
2025.05.01	103393.88	103393.88	102802.42	103168.46	86401	0	80
2025.05.02	103168.41	103769.38	103062.25	103667.18	86400	0	80
2025.05.03	103667.13	103958.66	103546.30	103945.31	86400	0	80
2025.05.04	103945.26	104214.42	103506.08	104185.19	86335	0	80
2025.05.05	104185.14	104826.71	104063.21	104776.64	86401	0	80
2025.05.06	104776.59	104857.64	104018.54	104195.30	86400	0	80
2025.05.07	104195.25	104376.36	103860.37	104061.20	86400	0	80
2025.05.08	104061.15	104371.04	103890.83	104236.43	86400	0	80
2025.05.09	104236.38	104321.03	103386.45	103400.76	86401	0	80
2025.05.10	103400.71	103658.02	103311.59	103398.81	86400	0	80
2025.05.11	103398.76	103592.02	102930.16	103478.19	86138	0	80
2025.05.12	103478.14	103680.49	103285.77	103593.46	86401	0	80
2025.05.13	103593.41	104166.79	103556.31	103822.39	86400	0	80
2025.05.14	103822.34	104306.60	103591.61	104108.97	86400	0	80
2025.05.15	104108.92	104552.57	103970.36	104508.62	86400	0	80
2025.05.16	104508.57	104760.85	104093.03	104759.80	86401	0	80
2025.05.17	104759.75	104830.43	104284.90	104288.30	86371	0	80
2025.05.18	104288.25	104323.74	103708.65	103989.55	86337	0	80
2025.05.19	103989.50	104376.96	103746.02	104070.79	86401	0	80
2025.05.20	104070.74	104227.85	103677.99	103677.99	86400	0	80
2025.05.21	103677.94	104284.95	103501.28	104251.75	86400	0	80
2025.05.22	104251.70	105419.62	104230.44	105346.39	86401	0	80
2025.05.23	105346.34	106836.10	105313.69	106829.50	86400	0	80
2025.05.24	106829.45	106928.44	106553.71	106620.73	86400	0	80
2025.05.25	106620.68	106855.09	106516.27	106770.79	86336	0	80
2025.05.26	106770.74	106852.84	106185.18	106185.18	86400	0	80
2025.05.27	106185.13	106309.12	105690.53	105871.90	86360	0	80
2025.05.28	105871.85	106065.89	105246.44	105314.69	86352	0	80
2025.05.29	105314.64	105647.70	104957.18	104971.43	86400	0	80
2025.05.30	104971.38	105137.32	104516.00	104579.84	86285	0	80
2025.05.31	104579.79	104956.16	104464.32	104944.06	86319	0	80
2025.06.01	104944.01	104986.31	104482.92	104624.58	86130	0	80
2025.06.02	104624.53	105254.73	104408.01	105235.93	86400	0	80
2025.06.03	105235.88	105628.49	105124.66	105181.24	86401	0	80
2025.06.04	105181.19	105529.58	105004.58	105252.20	86400	0	80
2025.06.05	105252.15	105454.47	105032.75	105431.47	86400	0	80
2025.06.06	105431.42	106121.62	105345.88	105889.44	86400	0	80
2025.06.07	105889.39	105940.68	105073.37	105202.19	86400	0	80
2025.06.08	105202.14	105677.47	105158.71	105646.72	86400	0	80
2025.06.09	105646.67	105759.08	105323.74	105381.01	86400	0	80
2025.06.10	105380.96	105856.45	105311.68	105638.79	86400	0	80
2025.06.11	105638.74	106008.08	105417.08	105435.13	86400	0	80
2025.06.12	105435.08	105899.06	105369.63	105864.24	86401	0	80
2025.06.13	105864.19	105908.71	105496.76	105703.74	86400	0	80
2025.06.14	105703.69	106034.26	105659.73	105849.32	86400	0	80
2025.06.15	105849.27	106286.98	105795.26	106271.35	85840	0	80
2025.06.16	106271.30	106572.70	106037.15	106138.20	86400	0	80
2025.06.17	106138.15	106233.83	105614.21	105889.78	86400	0	80
2025.06.18	105889.73	106319.55	105872.08	106189.69	86401	0	80
2025.06.19	106189.64	106431.48	105912.50	106155.89	86400	0	80
2025.06.20	106155.84	106740.41	106122.38	106261.13	86400	0	80
2025.06.21	106261.08	106459.94	105456.03	105630.67	86400	0	80
2025.06.22	105630.62	105774.74	105033.27	105065.05	86318	0	80
2025.06.23	105065.00	105722.89	104882.53	105659.21	86400	0	80
2025.06.24	105659.16	105735.47	105273.61	105298.53	86400	0	80
2025.06.25	105298.48	105494.16	105144.30	105204.63	86400	0	80
2025.06.26	105204.58	105359.85	104419.63	104485.12	86401	0	80
2025.06.27	104485.07	104507.99	103892.32	104041.82	86400	0	80
2025.06.28	104041.77	104041.77	103420.23	103795.65	86259	0	80
2025.06.29	103795.60	103872.02	103252.74	103549.37	86318	0	80
2025.06.30	103549.32	103678.60	103184.55	103384.72	86401	0	80
2025.07.01	103384.67	103618.34	102949.65	103341.45	86400	0	80
2025.07.02	103341.40	103539.10	102965.86	102965.86	86400	0	80
2025.07.03	102965.81	103440.56	102857.43	103433.91	86391	0	80
2025.07.04	103433.86	103508.33	102822.15	103105.57	86401	0	80
2025.07.05	103105.52	103668.47	103061.25	103246.05	86388	0	80
2025.07.06	103246.00	103356.65	102884.35	103286.30	86394	0	80
2025.07.07	103286.25	103322.77	102632.17	102681.60	86400	0	80
2025.07.08	102681.55	102963.75	102543.20	102733.22	86400	0	80
2025.07.09	102733.17	103331.60	102696.30	103005.80	86401	0	80
2025.07.10	103005.75	103103.48	102762.38	102990.16	86400	0	80
2025.07.11	102990.11	103722.76	102974.89	103448.06	86400	0	80
2025.07.12	103448.01	103549.02	102906.58	103434.26	86330	0	80
2025.07.13	103434.21	103505.41	103093.04	103483.06	86328	0	80
2025.07.14	103483.01	103570.16	103151.13	103160.29	86401	0	80
2025.07.15	103160.24	103388.17	102979.41	103098.28	86272	0	80
2025.07.16	103098.23	103367.64	102992.93	103231.51	86400	0	80
2025.07.17	103231.46	103375.73	102753.95	103308.87	86401	0	80
2025.07.18	103308.82	103359.44	102561.62	102793.37	86400	0	80
2025.07.19	102793.32	102793.32	101961.05	102308.79	86400	0	80
2025.07.20	102308.74	102452.33	101999.92	102402.83	86399	0	80
2025.07.21	102402.78	102808.52	102244.00	102540.54	86399	0	80
2025.07.22	102540.49	102798.73	102310.66	102310.66	86401	0	80
2025.07.23	102310.61	102563.55	102023.89	102165.20	86400	0	80
2025.07.24	102165.15	102509.12	102050.63	102296.52	86400	0	80
2025.07.25	102296.47	102363.36	101828.83	101990.65	86400	0	80
2025.07.26	101990.60	102046.47	101713.38	101939.36	86401	0	80
2025.07.27	101939.31	102089.14	101597.11	102054.94	86400	0	80
2025.07.28	102054.89	102256.07	101630.54	101662.08	86400	0	80
2025.07.29	101662.03	101712.40	101131.25	101387.06	86400	0	80
2025.07.30	101387.01	102095.78	101212.74	101958.07	86400	0	80
2025.07.31	101958.02	102148.60	101534.37	101534.37	86401	0	80
2025.08.01	101534.32	101579.36	101216.74	101234.59	86400	0	80
2025.08.02	101234.54	101691.96	101060.80	101485.95	86400	0	80
2025.08.03	101485.90	101569.84	100868.18	101039.38	86262	0	80
2025.08.04	101039.33	101805.59	100994.82	101618.83	86399	0	80
2025.08.05	101618.78	102477.23	101484.22	102449.32	86401	0	80
2025.08.06	102449.27	102455.64	101831.39	102149.28	86400	0	80
2025.08.07	102149.23	102806.28	102092.28	102726.93	86400	0	80
2025.08.08	102726.88	102932.00	102406.20	102648.34	86400	0	80
2025.08.09	102648.29	102963.02	102519.92	102630.20	86400	0	80
2025.08.10	102630.15	103127.54	102488.80	103080.90	86338	0	80
2025.08.11	103080.85	103416.90	103024.19	103250.82	86400	0	80
2025.08.12	103250.77	103623.80	103047.29	103329.28	86400	0	80
